ST,PUMA,prcnt_non_cit,prcnt_non_white,total_workforce,DOs
6,3738,0.3409319217989336,0.9705432346804729,64705,"[""Los Angeles District Office""]"
6,3739,0.10412022806729393,0.8304512072080528,85238,"[""Los Angeles District Office""]"
6,3740,0.19200306396016853,0.9458751436231329,65275,"[""Los Angeles District Office""]"
6,3741,0.38353909465020575,0.9806800952999783,69255,"[""Los Angeles District Office""]"
6,3742,0.42194053208137716,0.9915492957746479,63900,"[""Los Angeles District Office""]"
6,3743,0.33374044736015634,0.9785741703597725,57314,"[""Los Angeles District Office""]"
6,3744,0.3037371598486214,0.8517075148675437,88784,"[""Los Angeles District Office""]"
6,3745,0.5277324355573693,0.9939808202407672,58812,"[""Los Angeles District Office""]"
6,3746,0.3630690288804909,0.9157854592102069,57686,"[""Los Angeles District Office""]"
6,3747,0.19239702042142504,0.8944391629261483,83099,"[""Los Angeles District Office""]"
6,3748,0.10353475357039149,0.49127530952192394,113643,"[""Los Angeles District Office""]"
6,3749,0.20439007432667317,0.9565131023522985,60409,"[""Los Angeles District Office""]"
6,3750,0.31352091289743705,0.9852183315695026,86932,"[""Los Angeles District Office""]"
6,3751,0.364347975685285,0.9954266544328478,69752,"[""Los Angeles District Office""]"
6,3752,0.32481029563528196,0.983536696412311,82365,"[""Los Angeles District Office""]"
6,3753,0.1552957809617407,0.8678080656563044,57999,"[""Los Angeles District Office""]"
6,3754,0.1055472263868066,0.7913186264010852,70035,"[""Los Angeles District Office""]"
6,3755,0.16091342718010937,0.8968904253020659,60169,"[""Los Angeles District Office""]"
6,3756,0.2352910312019029,0.8947285574366867,57176,"[""Los Angeles District Office""]"
6,3757,0.2634618513095819,0.9840301502087739,73764,"[""Los Angeles District Office""]"
6,3758,0.23270463510848127,0.9131656804733728,81120,"[""Los Angeles District Office""]"
6,3759,0.24261746047080798,0.8983512060026406,62106,"[""Los Angeles District Office""]"
6,3760,0.06254980079681274,0.3142783703894101,77810,"[""Los Angeles District Office""]"
6,3761,0.1457291745336455,0.6578204063137225,66205,"[""Los Angeles District Office""]"
6,3762,0.15030186936667295,0.9179394208897023,58469,"[""Los Angeles District Office""]"
6,3763,0.162390590809628,0.8486597374179431,73120,"[""Los Angeles District Office""]"
6,3764,0.12552770202114544,0.7618336010759518,80301,"[""Los Angeles District Office""]"
6,3765,0.04362150940869216,0.4208531440433938,74665,"[""Los Angeles District Office""]"
6,3766,0.2356644546537349,0.8363110430491747,52893,"[""Los Angeles District Office""]"
6,3767,0.21826560983155358,0.7953573219257726,93739,"[""Los Angeles District Office""]"
6,3768,0.08604296499915275,0.46755031724813134,53113,"[""Los Angeles District Office""]"
6,3769,0.1736804158919288,0.72177740674686,52706,"[""Los Angeles District Office""]"
6,3900,0.22014226881317858,0.6600680144764757,64104,"[""Sacramento District Office""]"
6,4101,0.11169938460480627,0.30560044005913295,58174,"[""San Jose District Office""]"
6,4102,0.12092391304347826,0.239626881270903,76544,"[""San Jose District Office""]"
6,4701,0.26655193559234863,0.7152295610547347,50553,"[""Sacramento District Office""]"
6,4702,0.19817463085687712,0.6965759795372631,68808,"[""Sacramento District Office""]"
6,5301,0.16327108092812675,0.4831239388794567,88350,"[""San Jose District Office""]"
6,5302,0.390745501285347,0.8484061696658097,77800,"[""San Jose District Office""]"
6,5303,0.30678499034363876,0.7477854212886853,62653,"[""San Jose District Office""]"
